세부업무(도메인),단위프로세스명(기능),기능설명,FP유형,RET/FTR,DET,복잡도,FP점수
budget/project,사업 삭제,Soft Delete(사업+품목),EI,2,1,Low,3
budget/project,사업 일괄조회,관리번호 목록 일괄조회,EQ,3,55,High,6
budget/cost,전산관리비 단건조회,최신항목 상세 조회,EQ,4,50,High,6
budget/cost,전산관리비 수정,최신항목 수정(+단말기),EI,3,23,High,6
budget/cost,전산관리비 삭제,Soft Delete,EI,2,1,Low,3
budget/cost,전산관리비 목록조회,미삭제 목록 조회,EQ,4,50,High,6
budget/cost,전산관리비 생성,신규 항목 생성(+단말기),EI,3,22,High,6
budget/cost,전산관리비 일괄조회,관리번호 일괄조회,EQ,4,50,High,6
budget/document,가이드문서 목록조회,미삭제 전체 목록,EQ,1,8,Low,3
budget/document,가이드문서 단건조회,관리번호 상세,EQ,1,8,Low,3
budget/document,가이드문서 생성,신규 생성(자동채번),EI,1,3,Low,3
budget/document,가이드문서 수정,문서명/내용 수정,EI,1,2,Low,3
budget/document,가이드문서 삭제,Soft Delete,EI,1,1,Low,3
budget/document,검토의견 목록조회,문서+버전별 검토의견,EQ,1,11,Low,3
budget/document,검토의견 등록,신규 검토의견 등록,EI,1,5,Low,3
budget/document,검토의견 해결처리,FSG_YN 상태전이,EI,1,2,Low,3
budget/document,검토자 목록조회,사전협의 검토자 팀별,EQ,2,3,Low,3
budget/document,정의서 목록조회,미삭제 최신버전 목록,EQ,1,13,Low,3
budget/document,정의서 단건조회,관리번호+버전 상세,EQ,1,13,Low,3
budget/document,정의서 버전 히스토리,전체 버전 메타 목록,EQ,1,5,Low,3
budget/document,정의서 생성,신규 문서(최초버전),EI,1,6,Low,3
budget/document,정의서 새 버전 생성,최신버전 복제+0.01,EI,1,1,Low,3
budget/document,정의서 수정,최신버전 수정,EI,1,5,Low,3
budget/document,정의서 삭제,Soft Delete(버전/전체),EI,1,2,Low,3
budget/document,정의서 대시보드,부서KPI/월추이/검토 집계,EO,2,17,Average,5
budget/document,사이드바 배지건수,검토중 문서 수 집계,EO,1,2,Low,4
budget/it,IT부문 예산 요약,비목별 편성요청·편성액 집계,EO,3,10,Average,5
budget/it,IT부문 전년대비 비교,증감·증감률 계산,EO,3,10,Average,5
budget/plan,계획 목록조회,미삭제 계획 목록,EQ,1,14,Low,3
budget/plan,계획 단건조회,계획+스냅샷+프로젝트,EQ,2,18,Average,4
budget/plan,계획 등록,예산집계+스냅샷 생성,EO,4,19,High,7
budget/plan,계획 텍스트 수정,CLOB 필드 수정,EI,1,5,Low,3
budget/plan,계획 삭제,Soft Delete(계획+관계),EI,2,1,Low,3
budget/status,정보화사업 예산현황,사업별 편성요청/조정 집계,EO,3,47,High,7
budget/status,전산업무비 예산현황,전산업무비 편성 집계,EO,2,23,High,7
budget/status,경상사업 예산현황,품목별 자산 집계,EO,2,14,Average,5
budget/work,편성비목 목록조회,비목+결재완료 요청금액 집계,EO,3,6,Average,5
budget/work,편성률 일괄적용,비목별 편성률 Upsert,EI,3,5,High,6
budget/work,사업별 편성률 적용,사업별 편성률 적용,EI,3,5,High,6
budget/work,편성 결과조회,비목별 요청/편성 집계,EO,2,11,Average,5
budget/work,사업별 편성결과조회,사업별 요청/편성 집계,EO,3,15,Average,5
estimate,산정 목록조회,상태·참조 필터 목록,EQ,1,8,Low,3
estimate,산정 상세조회,마스터+팀별명세,EQ,2,11,Average,4
estimate,산정 신규신청,마스터 생성,EI,1,2,Low,3
estimate,산정 마스터수정,작성중 수정,EI,1,1,Low,3
estimate,산정 삭제,Soft Delete,EI,1,1,Low,3
estimate,산정 상태전이,제출/완료 전이,EI,1,1,Low,3
estimate,팀별명세 일괄저장,다행 저장,EI,2,4,Low,3
deliberation,심의 목록조회,상태·구분 필터 목록,EQ,1,8,Low,3
deliberation,심의 상세조회,상세 조회,EQ,1,17,Low,3
deliberation,심의 신규신청,생성,EI,1,3,Low,3
deliberation,심의 마스터수정,수정,EI,1,1,Low,3
deliberation,심의 삭제,Soft Delete,EI,1,1,Low,3
deliberation,심의 상태전이,상태 전이,EI,1,1,Low,3
deliberation,심의결과 입력,결과 저장,EI,1,8,Low,3
contract,계약 목록조회,필터 목록,EQ,1,9,Low,3
contract,계약 상세조회,상세 조회,EQ,1,14,Low,3
contract,계약 신규의뢰,생성,EI,1,3,Low,3
contract,계약 마스터수정,수정,EI,1,1,Low,3
contract,계약 삭제,Soft Delete,EI,1,1,Low,3
contract,계약 상태전이,상태 전이,EI,1,1,Low,3
contract,계약정보 입력,계약상세 저장,EI,1,6,Low,3
payment,지급 목록조회,필터 목록,EQ,1,9,Low,3
payment,지급 상세조회,마스터+회차명세,EQ,2,12,Average,4
payment,지급 신규의뢰,생성,EI,1,5,Low,3
payment,지급 마스터수정,수정,EI,1,3,Low,3
payment,지급 삭제,Soft Delete,EI,1,1,Low,3
payment,지급 상태전이,상태 전이,EI,1,1,Low,3
payment,회차별 지급명세 일괄저장,다행 저장,EI,2,5,Average,4
council,협의회 목록조회,권한별 사업+협의회 조인,EQ,2,18,Average,4
council,협의회 신청,생성(DRAFT),EI,1,3,Low,3
council,협의회 단건조회,사업개요 조인,EQ,2,17,Average,4
council,타당성검토표 조회,개요+점검+지표 통합,EQ,2,13,Average,4
council,타당성검토표 저장,upsert+성과지표,EI,2,13,Average,4
council,타당성검토표 수정,upsert,EI,2,13,Average,4
council,타당성 결재요청,결재등록+상태전이,EI,2,3,Low,3
council,결재 콜백처리,승인/반려 상태전이,EI,2,2,Low,3
council,협의회 개최시작,상태전이,EI,1,1,Low,3
council,협의회 완료처리,상태전이,EI,1,1,Low,3
council,협의회 생략처리,상태전이+사업상태변경,EI,2,1,Low,3
council,당연위원 후보조회,유형별 후보,EQ,2,6,Average,4
council,평가위원 목록조회,유형별 목록,EQ,1,6,Low,3
council,평가위원 선정,전체교체+상태전이,EI,2,4,Low,3
council,평가위원 수정,전체교체,EI,2,4,Low,3
council,일정현황 조회,응답집계(미응답수 계산),EO,2,12,Average,5
council,내 일정조회,본인 슬롯,EQ,1,3,Low,3
council,일정 입력,슬롯 저장,EI,1,3,Low,3
council,일정 확정,확정+상태전이,EI,2,3,Low,3
council,본회의 Q&A 목록,목록 조회,EQ,1,8,Low,3
council,본회의 질의등록,생성(채번),EI,1,1,Low,3
council,본회의 질의수정,수정,EI,1,1,Low,3
council,본회의 답변,답변 저장,EI,1,1,Low,3
council,본회의 Q&A 삭제,Soft Delete,EI,1,1,Low,3
council,평가의견 전체현황,위원별+항목평균 계산,EO,2,11,Average,5
council,내 평가의견 조회,6개항목 조회,EQ,1,6,Low,3
council,평가의견 작성,6항목 저장+상태전이,EI,2,3,Low,3
council,결과서 조회,내용+항목평균 계산,EO,2,7,Average,5
council,결과서 저장,저장+상태전이,EI,1,3,Low,3
council,결과서 수정,upsert,EI,1,3,Low,3
council,결과서 확정,확정+상태전이,EI,1,1,Low,3
council,결과서 검토확인,확인+자동전이,EI,2,1,Low,3
council,검토상황 동기화,전원확인 판정전이,EI,2,1,Low,3
council,본인 검토여부 조회,조회,EQ,1,1,Low,3
council,개최결과서 결재요청,결재등록+상태전이,EI,2,4,Low,3
council,추진부서 통보,사업상태변경+수신자정보,EO,2,4,Low,4
council,사전Q&A 목록,목록 조회,EQ,1,8,Low,3
council,사전질의 등록,생성(채번),EI,1,1,Low,3
council,사전질의 답변,답변+REP_YN,EI,1,1,Low,3
council,사전질의 수정,수정,EI,1,1,Low,3
common/admin,공통코드 등록,코드 등록,EI,1,11,Low,3
common/admin,공통코드 수정,코드 수정,EI,1,11,Low,3
common/admin,공통코드 삭제,코드 삭제,EI,1,2,Low,3
common/admin,코드 일괄 등록/수정,bulk upsert,EI,2,11,Average,4
common/admin,코드 목록조회,코드 목록,EQ,1,19,Low,3
common/admin,권한등급 등록,권한등급 등록,EI,1,4,Low,3
common/admin,권한등급 수정,권한등급 수정,EI,1,4,Low,3
common/admin,권한등급 삭제,권한등급 삭제,EI,1,1,Low,3
common/admin,권한등급 목록,권한등급 목록,EQ,1,10,Low,3
common/admin,역할 등록,역할 등록,EI,2,3,Low,3
common/admin,역할 수정,역할 수정,EI,2,3,Low,3
common/admin,역할 삭제,역할 삭제,EI,2,1,Low,3
common/admin,역할 목록,역할 목록,EQ,2,11,Average,4
common/admin,사용자 등록,사용자 등록,EI,2,9,Average,4
common/admin,사용자 수정,사용자 수정,EI,2,9,Average,4
common/admin,사용자 삭제,사용자 삭제,EI,2,1,Low,3
common/admin,사용자 목록,사용자 목록,EQ,2,12,Average,4
common/admin,조직 등록,조직 등록,EI,1,5,Low,3
common/admin,조직 수정,조직 수정,EI,1,5,Low,3
common/admin,조직 삭제,조직 삭제,EI,1,1,Low,3
common/admin,조직 목록,조직 목록,EQ,1,12,Low,3
common/admin,로그인이력 조회,페이징 조회,EQ,1,9,Low,3
common/admin,리프레시토큰 목록,토큰 목록,EQ,1,5,Low,3
common/admin,첨부파일 목록,파일 목록,EQ,1,7,Low,3
common/admin,감사로그 테이블 목록,로그테이블 목록,EQ,1,4,Low,3
common/admin,감사로그 조회,페이징 조회,EQ,2,8,Average,4
common/admin,감사로그 스냅샷 상세,스냅샷 상세,EQ,1,4,Low,3
common/admin,일별 로그인 통계,집계,EO,2,2,Low,4
common/admin/realtime,실시간로그 조회,증분+5/30분 집계,EO,3,8,Average,5
common/approval,신청 목록조회,목록 조회,EQ,2,11,Average,4
common/approval,신청 상세조회,상세 조회,EQ,2,11,Average,4
common/approval,신청 본문조회,본문 조회,EQ,1,2,Low,3
common/approval,신청 일괄조회,일괄 조회,EQ,2,11,Average,4
common/approval,신청서 등록,등록,EI,2,5,Average,4
common/approval,단건 결재처리,결재,EI,2,3,Low,3
common/approval,일괄 결재처리,일괄 결재,EI,2,4,Low,3
common/approval,신청 회수,회수,EI,2,1,Low,3
common/approval,미결재 건수,집계,EO,2,3,Low,4
common/approval,결재 대시보드,집계,EO,3,6,Average,5
common/approval,결재 배지,집계,EO,2,2,Low,4
common/board,게시판 등록,등록,EI,1,8,Low,3
common/board,게시판 수정,수정,EI,1,8,Low,3
common/board,게시판 삭제,삭제,EI,1,1,Low,3
common/board,게시판 목록,목록,EQ,1,10,Low,3
common/board,게시판 상세,상세,EQ,1,10,Low,3
common/board,게시글 검색/목록,검색,EQ,2,14,Average,4
common/board,게시글 상세(조회수+1),상세+조회수,EI,2,18,High,6
common/board,게시글 등록,등록,EI,1,7,Low,3
common/board,게시글 수정,수정,EI,1,7,Low,3
common/board,게시글 삭제,삭제,EI,1,1,Low,3
common/board,답글 등록,답글,EI,1,5,Low,3
common/board,댓글 목록(트리),목록,EQ,1,13,Low,3
common/board,댓글 등록,등록,EI,1,2,Low,3
common/board,대댓글 등록,등록,EI,1,2,Low,3
common/board,댓글 수정,수정,EI,1,2,Low,3
common/board,댓글 삭제,삭제,EI,1,2,Low,3
common/code,코드ID별 목록,조회,EQ,1,15,Low,3
common/code,코드 단건조회,조회,EQ,1,15,Low,3
common/code,코드 등록,등록,EI,1,12,Low,3
common/code,코드 수정,수정,EI,1,8,Low,3
common/code,코드 삭제,삭제,EI,1,1,Low,3
common/code,유형별 코드목록,조회,EQ,1,15,Low,3
common/code,예산기간 조회,조회,EQ,1,2,Low,3
common/iam,조직별 사용자목록,조회,EQ,1,7,Low,3
common/iam,사용자 상세조회,조회,EQ,1,12,Low,3
common/iam,사용자 검색,검색,EQ,1,7,Low,3
common/iam,조직 목록조회,조회,EQ,1,3,Low,3
common/notification,알림 목록,페이징,EQ,1,8,Low,3
common/notification,미읽음 건수,집계,EO,1,1,Low,4
common/notification,알림 읽음처리,읽음,EI,1,1,Low,3
common/notification,전체 읽음처리,읽음,EI,1,1,Low,3
common/notification,알림 삭제,삭제,EI,1,1,Low,3
common/system,관리자 회원가입,signup,EI,1,7,Low,3
common/system,로그인,JWT 발급,EI,2,8,Average,4
common/system,액세스토큰 갱신,refresh,EI,2,1,Low,3
common/system,로그아웃,토큰무효화,EI,2,1,Low,3
common/system,개발용 사용자목록(개발전용),개발전용,EQ,1,7,Low,3
common/system,개발용 사용자전환(개발전용),개발전용,EI,2,8,Average,4
common/system,SSO 콜백,SSO 처리,EI,2,3,Low,3
common/system,SSO 완료,토큰발급,EI,2,3,Low,3
common/system,내 로그인이력,조회,EQ,1,6,Low,3
common/system,Tiptap 변수 카탈로그,조회,EQ,2,9,Average,4
common/system,Tiptap 변수 치환,파생,EO,3,2,Low,4
domain/menu,메뉴 트리조회,관리자,EQ,1,11,Low,3
domain/menu,메뉴 등록,등록,EI,1,6,Low,3
domain/menu,메뉴 수정,수정,EI,1,6,Low,3
domain/menu,메뉴 삭제,삭제,EI,1,1,Low,3
domain/menu,형제 순서변경,reorder,EI,1,1,Low,3
domain/menu,부모 이동,move,EI,1,1,Low,3
domain/menu,사용가능 라우트목록,조회,EQ,1,9,Low,3
domain/menu,전체 라우트목록,조회,EQ,1,9,Low,3
domain/menu,라우트 등록,등록,EI,1,5,Low,3
domain/menu,라우트 수정,수정,EI,1,5,Low,3
domain/menu,라우트 삭제,삭제,EI,1,1,Low,3
domain/menu,사용자 메뉴조회,권한필터,EQ,2,11,Average,4
infra/ai,Gemini AI 생성,외부 AI 호출,EO,2,4,Low,4
infra/file,파일 목록조회,조회,EQ,1,11,Low,3
infra/file,파일 단건조회,조회,EQ,1,11,Low,3
infra/file,파일 업로드,업로드,EI,1,11,Low,3
infra/file,파일 일괄업로드,업로드,EI,1,11,Low,3
infra/file,파일 메타수정,수정,EI,1,2,Low,3
infra/file,파일 삭제,삭제,EI,1,1,Low,3
infra/file,출처기준 일괄삭제,삭제,EI,1,2,Low,3
infra/file,파일 다운로드,다운로드,EQ,1,1,Low,3
infra/file,이미지 미리보기,미리보기,EQ,1,1,Low,3
