세부업무(도메인),단위프로세스명(기능),기능설명,FP유형,RET/FTR,DET,복잡도,FP점수,변경내용
budget,예산현황 전산업무비 집계,전산업무비 비목별 요청 및 조정액 집계,EO,4,24,High,7,
budget,예산현황 경상사업 집계,경상사업 기계장치 및 무형자산 환산 집계,EO,3,15,Average,5,
budget,편성비목 목록 조회,편성비목별 편성률 및 요청금액 합계 산출,EO,3,7,Average,5,
budget,비목별 편성률 적용,비목 편성률 적용 및 편성금액 산출 저장,EI,4,9,High,6,
budget,사업별 편성률 적용,사업별 자본 및 관리비 편성률 적용 저장,EI,4,11,High,6,
budget,편성 결과 요약 조회,비목별 편성 결과 및 합계 산출,EO,3,13,Average,5,
budget,사업별 편성 결과 요약 조회,사업별 비목 교차 편성 결과 산출,EO,4,15,High,7,
document,가이드문서 기본정보,가이드 문서 마스터(TPRMPP_BGDOCM) 및 변경로그(BGDOCM_L) 유지,ILF,2,10,Low,7,
document,요구사항정의서 기본정보,요구사항 정의서 마스터(TPRMPP_BRDOCM) 버전별 레코드 및 변경로그(BRDOCM_L) 유지,ILF,2,18,Low,7,
document,문서검토의견 기본정보,문서 검토의견 마스터(TPRMPP_BRIVGM) 및 변경로그(BRIVGM_L) 유지,ILF,2,15,Low,7,
document,가이드문서 목록조회,삭제되지 않은 가이드 문서 전체 목록 단순 조회 (GET /api/guide-documents),EQ,1,8,Low,3,목록 전용 GuideDocDto.ListResponse(7필드) 분리로 DET 10→8
document,가이드문서 상세조회,문서관리번호로 가이드 문서 단건 조회 (GET /api/guide-documents/{docMngNo}),EQ,1,10,Low,3,
document,가이드문서 등록,가이드 문서 신규 생성 및 GDOC 자동 채번 (POST /api/guide-documents),EI,1,6,Low,3,
document,가이드문서 수정,가이드 문서 제목 및 본문 수정 (PUT /api/guide-documents/{docMngNo}),EI,1,6,Low,3,
document,가이드문서 삭제,가이드 문서 논리 삭제 DEL_YN=Y (DELETE /api/guide-documents/{docMngNo}),EI,1,3,Low,3,
document,검토의견 목록조회,문서 및 버전별 검토의견 목록 조회와 작성자명 배치 조인 (GET /api/documents/{docMngNo}/review-comments),EQ,2,15,Average,4,검토의견 응답에 작성자 팀명(authorTeam) 추가로 DET 14→15
document,검토의견 등록,인라인 및 전반 검토의견 신규 등록과 SEQ_BRIVGM 채번 (POST /api/documents/{docMngNo}/review-comments),EI,2,13,Average,4,
document,검토의견 해결처리,검토의견 완료여부 FSG_YN=Y 변경 (PATCH /api/documents/{docMngNo}/review-comments/{ivgSno}/resolve),EI,1,4,Low,3,
document,사전협의 검토자 조회,검토 대상 팀코드별 검토자 1명씩 목록 조회 (GET /api/reviews/{docMngNo}/reviewers),EQ,1,5,Low,3,
document,요구사항정의서 목록조회,문서별 최신버전 목록 조회와 작성자명 배치 조인 (GET /api/documents),EQ,2,17,Average,4,
document,요구사항정의서 상세조회,문서관리번호와 버전 기준 단건 조회 version 미지정 시 최신버전 (GET /api/documents/{docMngNo}),EQ,1,18,Low,3,
document,요구사항정의서 버전이력 조회,동일 문서관리번호의 전체 버전 메타 목록 내림차순 조회 (GET /api/documents/{docMngNo}/versions),EQ,1,7,Low,3,
document,요구사항정의서 등록,요구사항 정의서 신규 생성 DOC 자동채번 HTML 새니타이징 작성자 조직 스냅샷 저장 (POST /api/documents),EI,3,9,High,6,
document,요구사항정의서 새버전 생성,최신버전 업무필드 복제 후 버전 +0.01 증가한 새 레코드 생성 (POST /api/documents/{docMngNo}/versions),EI,3,4,Average,4,
document,요구사항정의서 수정,최신버전 대상 수정 소유권 검증 및 HTML 새니타이징 (PUT /api/documents/{docMngNo}),EI,1,9,Low,3,
document,요구사항정의서 삭제,version 미지정 시 전체버전 일괄 논리삭제 지정 시 해당 버전만 삭제 (DELETE /api/documents/{docMngNo}),EI,1,4,Low,3,
document,요구사항정의서 대시보드 조회,부서코드 기준 KPI 4종 집계와 최근 6개월 월별 추이 및 지연 판정 포함 검토중 목록 파생 (GET /api/documents/dashboard),EO,2,13,Average,5,
document,사이드바 배지건수 조회,부서코드 기준 검토 진행중 문서 수 집계 (GET /api/documents/badge-count),EO,1,3,Low,4,
council,협의회 기본정보 및 타당성검토표(BASCTM+BPOVWM+BPERFM),협의회 마스터와 사업개요 및 성과지표와 변경로그 논리파일,ILF,4,36,Average,10,
council,협의회 평가위원(BCMMTM),평가위원 선정 및 확인여부 데이터,ILF,2,12,Low,7,
council,협의회 일정(BSCHDM),위원별 가능일정 응답 데이터,ILF,2,12,Low,7,
council,협의회 평가의견(BEVALM),점검항목별 점수와 의견 데이터,ILF,2,12,Low,7,
council,타당성 자체점검(BCHKLM),협의회 단위 점검항목별 자가진단 점수·의견 마스터와 변경로그,ILF,2,11,Low,7,
council,사업별 평가의견(BPLEVM),계획협의회 위원별 사업 적정유보 평가 마스터와 변경로그,ILF,2,12,Low,7,
council,협의회 결과서(BRSLTM),종합의견 및 타당성검토의견 결과서 데이터,ILF,2,11,Low,7,
council,사전질의응답(BPQNAM),협의회 개최 전 질의응답 데이터,ILF,2,14,Low,7,
council,본회의질의응답(BMQNAM),본회의 질의응답 데이터,ILF,2,14,Low,7,
council,타당성검토 생략판정요청(BASKPM),생략 판정 요청과 확인 및 결재연동 데이터,ILF,2,18,Low,7,
deliberation,과업심의 기본(BDELIM),과업심의 신청 및 결과 마스터와 변경로그 논리파일,ILF,2,22,Average,10,
council,협의회 목록 조회,권한별 협의회 목록과 사업정보 조회 GET /api/council,EQ,4,20,High,6,목록 응답에 정보보호 자원 보유여부(hasInfoSecResource) 추가로 DET 19→20
council,협의회 신규 신청,협의회 신청 등록 POST /api/council,EI,2,6,Average,4,
council,협의회 단건 상세 조회,협의회ID 기준 기본정보 조회 GET /api/council/{asctId},EQ,3,19,Average,4,상세 응답에 주관부서(svnDpm) 추가로 DET 18→19
council,타당성검토표 조회,사업개요 및 성과지표와 자체점검 통합 조회 GET /{asctId}/feasibility,EQ,2,21,High,6,
council,타당성검토표 저장,임시저장 및 작성완료 저장 POST /{asctId}/feasibility,EI,2,23,High,6,
council,타당성검토표 수정,기존 검토표 수정 PUT /{asctId}/feasibility,EI,2,23,High,6,
council,타당성검토표 결재 요청,팀장 결재 상신 POST /{asctId}/approval,EI,2,6,Average,4,
council,타당성검토표 결재 콜백 처리,승인 및 반려 상태 반영 PATCH /{asctId}/approval,EI,2,4,Low,3,
council,협의회 개최 시작,SCHEDULED에서 IN_PROGRESS 전이 PATCH /{asctId}/start,EI,1,3,Low,3,
council,협의회 완료 처리,IN_PROGRESS에서 RESULT_WRITING 전이 PATCH /{asctId}/complete,EI,1,3,Low,3,
council,협의회 생략 처리,APPROVED에서 생략 전이 및 사업상태 변경 PATCH /{asctId}/skip,EI,2,3,Low,3,
council,협의회 개최준비 시작,APPROVED에서 PREPARING 전이 PATCH /{asctId}/start-preparation,EI,1,3,Low,3,
council,타당성검토 생략 판정 요청 등록,정보보호기획 생략판정 요청 POST /{asctId}/skip-request,EI,3,6,High,6,
council,생략 판정 및 결재 상신,IT기획 생략여부 판정 및 결재 POST /{asctId}/skip-request/decision,EI,3,6,High,6,
council,생략 판정 요청 목록 조회,활성 생략판정 요청 목록 GET /api/council/skip-requests,EQ,1,13,Low,3,
council,생략 판정 요청 단건 조회,협의회별 생략판정 요청 조회 GET /{asctId}/skip-request,EQ,1,13,Low,3,
council,당연위원 후보 조회,심의유형별 당연위원 자동 도출 GET /{asctId}/committee/default,EO,3,7,Average,5,
council,평가위원 목록 조회,당연위원과 소집위원 및 간사 위원 목록 GET /{asctId}/committee,EQ,2,7,Average,4,
council,평가위원 선정,위원 전체 교체 저장 POST /{asctId}/committee,EI,2,6,Average,4,
council,평가위원 수정,위원 전체 교체 수정 PUT /{asctId}/committee,EI,2,6,Average,4,
council,일정 입력 현황 조회,위원별 응답 현황과 집계 GET /{asctId}/schedule,EO,4,17,High,7,
council,내 일정 조회,평가위원 본인 일정 슬롯 조회 GET /{asctId}/schedule/my,EQ,1,4,Low,3,
council,일정 입력,위원 가능일정 및 대면희망 입력 POST /{asctId}/schedule,EI,2,7,Average,4,
council,일정 확정,최종 회의일정 확정 PUT /{asctId}/schedule/confirm,EI,1,6,Low,3,
council,서면개최 확정,서면개최 확정 및 진행중 전이 PUT /{asctId}/schedule/confirm-written,EI,2,3,Low,3,
council,평가의견 전체 현황 조회,위원별 평가의견과 항목별 평균 GET /{asctId}/evaluation,EO,3,10,Average,5,
council,내 평가의견 조회,평가위원 본인 평가의견 조회 GET /{asctId}/evaluation/my,EQ,2,7,Average,4,
council,평가의견 작성,6개 점검항목 점수 및 의견 저장 POST /{asctId}/evaluation,EI,2,6,Average,4,
council,결과서 조회,결과서 내용과 항목별 평균점수 GET /{asctId}/result,EO,3,7,Average,5,
council,결과서 저장,종합의견 및 검토의견 저장 POST /{asctId}/result,EI,2,6,Average,4,
council,결과서 수정,결과서 upsert 수정 PUT /{asctId}/result,EI,2,6,Average,4,
council,결과서 확정,결과서 확정 및 RESULT_REVIEW 전이 PUT /{asctId}/result/confirm,EI,2,3,Low,3,
council,결과서 검토 확인,평가위원 결과서 확인 처리 POST /{asctId}/result/review,EI,2,3,Low,3,
council,결과서 검토 진행상황 동기화,전원 확인 시 상태 자동전이 POST /{asctId}/result/review/sync,EI,2,4,Low,3,
council,본인 결과서 확인 여부 조회,본인 검토 확인 여부 조회 GET /{asctId}/result/review/my,EQ,1,2,Low,3,
council,개최결과서 결재 요청,팀장에서 부장 결재 상신 POST /{asctId}/result/approval,EI,2,7,Average,4,
council,추진부서 통보,협의회 결과 통보 및 사업상태 변경 POST /{asctId}/notify,EI,3,7,High,6,
council,사전질의응답 목록 조회,협의회 사전질의응답 목록 GET /{asctId}/qna,EQ,2,9,Average,4,
council,사전 질의 등록,평가위원 사전질의 등록 POST /{asctId}/qna,EI,1,5,Low,3,
council,사전 질의 답변,추진부서 담당자 답변 PUT /{asctId}/qna/{qtnId},EI,1,5,Low,3,
council,사전 질의 수정,질의 등록자 질의내용 수정 PATCH /{asctId}/qna/{qtnId},EI,1,5,Low,3,
council,본회의 질의응답 목록 조회,본회의 QnA 목록 GET /{asctId}/main-qna,EQ,2,9,Average,4,
council,본회의 질의 등록,IT관리자 본회의 질의 등록 POST /{asctId}/main-qna,EI,1,5,Low,3,
council,본회의 질의 수정,IT관리자 본회의 질의 수정 PATCH /{asctId}/main-qna/{qtnId},EI,1,5,Low,3,
council,본회의 답변 등록 및 수정,IT관리자 본회의 답변 처리 PUT /{asctId}/main-qna/{qtnId},EI,1,5,Low,3,
council,본회의 질의응답 삭제,본회의 QnA 논리삭제 DELETE /{asctId}/main-qna/{qtnId},EI,1,4,Low,3,
council,계획협의회 심의 대상 조회,계획 스냅샷과 사업 개요·기간 병합 및 최초/조정 예산 비교 GET /{asctId}/plan-targets,EO,4,21,High,7,스냅샷 손상여부(snapshotIncomplete) 추가로 DET 20→21
council,계획협의회 평가 현황 조회,위원별 평가와 사업별 최종 판정(1명 유보 시 유보) 집계 GET /{asctId}/plan-evaluation,EO,3,10,Average,5,
council,내 계획협의회 평가 조회,평가위원 본인 사업별 적정유보 조회 GET /{asctId}/plan-evaluation/my,EQ,2,7,Average,4,
council,계획협의회 사업별 적정유보 저장,위원 사업별 적정유보·사유 저장과 첫 제출 시 상태 08 전이 POST /{asctId}/plan-evaluation,EI,3,6,High,6,
council,계획협의회 결과서 프리필 요약,사업별 판정 요약 HTML 표 파생 GET /{asctId}/plan-evaluation/result-summary,EO,3,8,Average,5,스냅샷 손상여부(snapshotIncomplete) 추가로 DET 7→8
deliberation,과업심의 목록 조회,상태와 구분 및 연계번호 조건 목록 GET /api/project/deliberations,EQ,2,11,Average,4,
deliberation,과업심의 상세 조회,문서번호 기준 상세 GET /{docNo},EQ,2,18,Average,4,
deliberation,과업심의 신규 신청,과업심의 신청 문서 생성 POST /api/project/deliberations,EI,2,6,Average,4,
deliberation,과업심의 마스터 수정,작성중 요청내용 수정 PUT /{docNo},EI,1,4,Low,3,
deliberation,과업심의 삭제,작성중 문서 논리삭제 DELETE /{docNo},EI,1,3,Low,3,
deliberation,과업심의 상태 전이,제출 및 완료 상태 전이 POST /{docNo}/status,EI,1,4,Low,3,
deliberation,과업심의 결과 입력,진행중 문서 심의결과 저장 PUT /{docNo}/result,EI,1,11,Low,3,
bizplan,사업계획 데이터(마스터+일정+품목+계약),BBIZPM/BBIZSM/BBIZGM/BBIZCM 및 변경로그 4종을 RET로 포함한 사업계획 내부논리파일,ILF,8,33,High,15,
bizplan,사업계획 목록 조회,BPLANA 포함 사업 기준 목록을 BPROJM/BBIZPM/BPROJA/CORGNI 조인으로 단순 조회,EQ,5,10,High,6,
bizplan,사업계획 진입(create-or-get),미생성 시 사업계획 생성 후 상태 21 부여 및 예산품목과 기본일정 시드,EI,5,25,High,6,
bizplan,사업계획 상세 조회,사업계획 마스터와 일정 및 품목과 계약 목록을 부수효과 없이 재조회,EQ,4,25,High,6,
bizplan,사업계획 전체 저장,보고서 및 일정과 품목 및 계약을 SNO 기준 병합 저장하고 총소요금액 재계산,EI,3,21,High,6,
bizplan,사업계획 완료 처리,BPROJA 상태를 작성중(21)에서 작성완료(29)로 전이,EI,4,4,Average,4,
contract,입찰계약 데이터,BCONTM 마스터와 변경로그(BCONTML)를 RET로 포함한 입찰계약 내부논리파일,ILF,2,20,Average,10,
contract,입찰계약 목록 조회,상태와 예산성격구분 및 참조번호 조건으로 BCONTM을 BPROJM/BCOSTM과 조인해 단순 조회,EQ,3,14,Average,4,
contract,입찰계약 상세 조회,문서관리번호로 마스터와 대상명(BPROJM/BCOSTM 분기)을 단건 조회,EQ,3,16,Average,4,
contract,입찰계약 신규 의뢰,대상구분과 참조번호로 입찰계약 문서를 생성하고 문서관리번호를 반환,EI,2,6,Average,4,
contract,입찰계약 마스터 수정,작성중 상태에서 요청내용을 수정,EI,1,4,Low,3,
contract,입찰계약 삭제,작성중 상태에서 입찰계약 문서를 논리 삭제,EI,1,3,Low,3,
contract,입찰계약 상태 전이,제출 및 완료 등 상태 코드를 검증 후 전이,EI,1,4,Low,3,
contract,계약 정보 입력,진행중 상태에서 계약방법과 계약명 및 계약금액과 상대처 및 계약일자를 저장,EI,1,9,Low,3,
estimate,소요예산 산정 데이터(마스터+팀별상세),BESTIM/BESTTM 및 변경로그 2종을 RET로 포함한 소요예산 산정 내부논리파일,ILF,4,18,Low,7,
estimate,소요예산 산정 목록 조회,개발비 품목 보유 사업 기준으로 BITEMM 금액 합계(총사업비)를 집계해 출력,EO,4,17,High,7,
estimate,소요예산 산정 상세 조회,문서번호로 마스터와 팀별 산정 명세 목록을 단순 조회,EQ,2,14,Average,4,
estimate,소요예산 산정 신규 신청,사업 참조번호와 요청내용으로 소요예산 문서를 생성하고 문서번호를 반환,EI,2,5,Average,4,
estimate,소요예산 산정 마스터 수정,작성중 상태에서 요청내용을 수정,EI,1,4,Low,3,
estimate,소요예산 산정 삭제,작성중 상태에서 소요예산 문서를 논리 삭제,EI,1,3,Low,3,
estimate,소요예산 산정 상태 전이,작성중과 진행중 및 완료 상태 전이를 검증 후 반영,EI,1,4,Low,3,
estimate,팀별 산정 명세 일괄 저장,진행중 상태에서 담당팀과 비목별 산정금액 및 의견을 일괄 저장,EI,1,7,Low,3,
payment,대금지급 데이터(마스터+회차상세),BPAYMM/BPAYTM 및 변경로그 2종을 RET로 포함한 대금지급 내부논리파일,ILF,4,21,Average,10,
payment,대금지급 목록 조회,상태와 구분 및 참조번호 조건으로 BPAYMM을 BPROJM/BCOSTM과 조인해 단순 조회,EQ,3,14,Average,4,
payment,대금지급 상세 조회,문서번호로 마스터와 대상명 및 회차별 지급 명세를 단건 조회,EQ,3,17,Average,4,
payment,대금지급 신규 의뢰,대상구분과 참조번호 및 계약정보로 대금지급 문서를 생성하고 문서번호를 반환,EI,2,8,Average,4,
payment,대금지급 마스터 수정,작성중 상태에서 요청내용과 계약명 및 계약금액을 수정,EI,1,6,Low,3,
payment,대금지급 삭제,작성중 상태에서 대금지급 문서를 논리 삭제,EI,1,3,Low,3,
payment,대금지급 상태 전이,제출 및 완료 등 상태 코드를 검증 후 전이,EI,1,4,Low,3,
payment,회차별 지급 명세 일괄 저장,진행중 상태에서 지급회차별 금액과 지급일자 및 예정일자와 의견을 일괄 저장,EI,1,8,Low,3,
board,게시판메타 기본정보,게시판 정책 마스터 TPRMPP_CBLBMM(17컬럼) + 변경로그 CblbmmL을 RET로 포함,ILF,2,17,Low,7,
board,게시물 기본정보,게시물 마스터 TPRMPP_CBLBCM(22컬럼) + 변경로그 CblbcmL을 RET로 포함,ILF,2,22,Average,10,
board,댓글 기본정보,댓글 마스터 TPRMPP_CCMMTM(15컬럼) + 변경로그 CcmmtmL을 RET로 포함,ILF,2,15,Low,7,
notification,알림 기본정보,공통알림기본 TPRMPP_CINFMM(21컬럼),ILF,1,21,Low,7,
file,첨부파일 기본정보,공통첨부파일기본 TPRMPP_CFILEM(14컬럼),ILF,1,15,Low,7,CFILEM에 파일크기(APG_FL_SZ) 컬럼 추가로 DET 14→15
approval,신청서결재 기본정보,신청서마스터 CAPPLM(15) + 신청서관계 CAPPLA(12) + 결재선 CDECIM(15) + 변경로그 CapplmL을 RET로 포함,ILF,4,42,Average,10,
board,게시판 목록 조회,사이드바용 활성 게시판 목록 단순 조회 GET /api/boards/meta,EQ,1,12,Low,3,
board,게시판 단건 조회,게시판관리번호로 게시판 상세 조회 GET /api/boards/meta/{blbMngNo},EQ,1,12,Low,3,
board,게시판 등록,관리자 게시판 신규 등록 POST /api/admin/boards/meta,EI,1,10,Low,3,
board,게시판 수정,관리자 게시판 정책 수정 PUT /api/admin/boards/meta/{blbMngNo},EI,1,10,Low,3,
board,게시판 삭제,관리자 게시판 논리삭제 DELETE /api/admin/boards/meta/{blbMngNo},EI,1,3,Low,3,
board,게시물 목록 조회,키워드와 기간 및 부서 검색조건 기반 게시물 페이지 조회 GET /api/boards/{blbMngNo}/posts,EQ,2,23,High,6,검색조건에 공개글 한정(publicOnly) 추가로 DET 22→23
board,게시물 상세 조회,게시판과 게시물을 조회하고 수정 가능 여부 canModify를 권한으로 파생하여 상세 DTO 20개 필드를 반환하는 상태 변경 없는 GET /api/boards/{blbMngNo}/posts/{nacMngNo},EO,2,22,High,7,
board,게시물 조회수 증가,게시판 접근권한 확인 후 게시물 조회수를 증가시키는 별도 명령 POST /api/boards/{blbMngNo}/posts/{nacMngNo}/views,EI,2,2,Low,3,
board,게시물 등록,게시물 등록 및 멘션 알림 생성 POST /api/boards/{blbMngNo}/posts,EI,3,10,High,6,
board,게시물 수정,게시물 수정 및 멘션 알림 생성 PUT /api/boards/{blbMngNo}/posts/{nacMngNo},EI,3,10,High,6,
board,게시물 삭제,게시물 논리삭제 DELETE /api/boards/{blbMngNo}/posts/{nacMngNo},EI,2,4,Low,3,
board,답변글 등록,부모 게시물 하위 답변글 등록 및 그룹트리 채번 POST /api/boards/{blbMngNo}/posts/{nacMngNo}/replies,EI,3,8,High,6,
board,댓글 목록 조회,게시물 댓글 트리 정렬 조회 GET /api/boards/{blbMngNo}/posts/{nacMngNo}/comments,EQ,3,15,Average,4,
board,댓글 등록,댓글 등록 및 멘션 알림 생성 POST /api/boards/{blbMngNo}/posts/{nacMngNo}/comments,EI,4,6,High,6,
board,대댓글 등록,부모 댓글 하위 대댓글 등록 POST /{nacMngNo}/comments/{cmmtMngNo}/replies,EI,4,7,High,6,
board,댓글 수정,댓글 본문 수정 PUT /{nacMngNo}/comments/{cmmtMngNo},EI,2,7,Average,4,
board,댓글 삭제,댓글 논리삭제 DELETE /{nacMngNo}/comments/{cmmtMngNo},EI,1,5,Low,3,
notification,알림 목록 조회,본인 알림 최신순 페이지 조회 GET /api/notifications,EQ,1,13,Low,3,
notification,미읽음 카운트 조회,헤더 뱃지용 본인 미읽음 건수 집계 GET /api/notifications/unread-count,EO,1,3,Low,4,
notification,알림 단건 읽음,본인 알림 1건 읽음 처리 PATCH /api/notifications/{infmMsgNo}/read,EI,1,3,Low,3,
notification,알림 일괄 읽음,본인 미읽음 알림 전체 읽음 처리 PATCH /api/notifications/read-all,EI,1,3,Low,3,
notification,알림 삭제,본인 알림 1건 논리삭제 DELETE /api/notifications/{infmMsgNo},EI,1,3,Low,3,
file,파일 목록 조회,주식별자 기준 파일 목록 조회 및 읽기범위 필터 GET /api/files,EQ,2,17,Average,4,FileDto.Response에 파일크기(apgFlSz) 추가로 DET 16→17
file,파일 단건 조회,파일매핑ID 기준 메타 조회 및 읽기권한 검증 GET /api/files/{flMpnId},EQ,2,15,Average,4,FileDto.Response에 파일크기(apgFlSz) 추가로 DET 14→15
file,파일 다건 배치 조회,여러 부모 식별자의 첨부파일을 부모별로 묶어 일괄 조회 GET /api/files/batch,EQ,2,16,Average,4,신규 기능 — 부모별 파일 일괄 조회 엔드포인트 추가
file,파일 단건 업로드,멀티파트 파일 1건 검증 및 저장과 물리명 채번 POST /api/files,EI,1,18,Average,4,FileDto.Response에 파일크기(apgFlSz) 추가로 DET 17→18
file,파일 다건 업로드,다건 파일 개별 처리 및 성공과 실패 목록 반환 POST /api/files/bulk,EI,1,8,Low,3,
file,파일 메타 수정,파일 연결 도메인 정보 수정 PUT /api/files/{flMpnId},EI,1,5,Low,3,
file,파일 단건 삭제,파일 논리삭제 및 쓰기권한 검증 DELETE /api/files/{flMpnId},EI,1,3,Low,3,
file,파일 일괄 삭제,원본 식별자 기준 연결 파일 일괄 논리삭제 DELETE /api/files/bulk,EI,1,5,Low,3,
file,파일 다운로드,첨부 응답으로 파일 리소스 전송 GET /api/files/{flMpnId}/download,EQ,2,6,Average,4,
file,이미지 미리보기,인라인 응답으로 이미지 리소스 전송 GET /api/files/{flMpnId}/preview,EQ,2,6,Average,4,
approval,전체 신청서 조회,전체 신청서와 결재자 목록 조회 GET /api/applications,EQ,2,21,High,6,
approval,미상신 건수 조회,정보화사업 및 전산업무비 미상신 건수 집계 GET /api/applications/pending-count,EO,3,6,Average,5,
approval,신청서 단건 조회,신청서 상세와 결재선 조회 GET /api/applications/{apfMngNo},EQ,2,22,High,6,
approval,신청서 세부내용 조회,신청서 본문 JSON만 단순 조회 GET /api/applications/{apfMngNo}/apfDtlCone,EQ,1,4,Low,3,
approval,신청서 일괄 조회,복수 신청관리번호 일괄 조회 및 부분성공 반환 POST /api/applications/bulk-get,EQ,2,23,High,6,
approval,신청서 생성,신청서 마스터와 원본연결 및 결재선 일괄 생성과 결재요청 알림 POST /api/applications,EI,2,11,Average,4,
approval,신청서 단건 승인반려,순차 결재 검증 후 승인 및 반려 처리와 상태 동기화 POST /api/applications/{apfMngNo}/approve,EI,3,6,High,6,
approval,신청서 일괄 승인반려,복수 신청서 단일 트랜잭션 승인 및 반려 처리 POST /api/applications/bulk-approve,EI,3,12,High,6,
approval,신청서 회수,결재중 신청서 회수 및 미결재 항목 무효화 POST /api/applications/{apfMngNo}/recall,EI,2,4,Low,3,
approval,전자결재 대시보드 조회,부서 기준 KPI와 월별 추이 및 본인 대기목록 집계 GET /api/applications/dashboard,EO,2,15,Average,5,
approval,결재 배지 건수 조회,사이드바 결재대기 및 기안진행중 건수 집계 GET /api/applications/approval-badge,EO,1,6,Low,4,
iam,사용자정보 마스터,사용자(직원) 기본정보와 인증정보 테이블 TPRMPP_CUSERI,ILF,1,22,Low,7,
iam,조직정보 마스터,조직(부점) 계층 정보 테이블 TPRMPP_CORGNI,ILF,1,12,Low,7,
iam,자격등급 및 역할 마스터,자격등급(TPRMPP_CAUTHI)과 사용자별 자격등급 매핑(TPRMPP_CROLEI),ILF,2,12,Low,7,
system,로그인이력 마스터,로그인과 실패 및 로그아웃 이력 테이블 TPRMPP_CLOGNH,ILF,1,14,Low,7,
system,갱신토큰 마스터,JWT Refresh Token 저장 테이블 TPRMPP_CRTOKM,ILF,1,14,Low,7,
system,SSO 외부인증 데이터,외부 ESSO 인증서버가 관리하는 토큰 검증 결과 데이터(읽기 전용),EIF,1,6,Low,5,
code,공통코드 마스터,공통코드 테이블 TPRMPP_CCODEM + 변경로그 CCODEML을 RET로 포함,ILF,2,20,Average,10,
iam,조직별 사용자 목록 조회,GET /api/users 조직코드 기준 사용자 목록 단순 조회,EQ,2,10,Average,4,
iam,사용자 상세 조회,GET /api/users/{eno} 사번 기준 상세정보 조회(본인 및 관리자),EQ,2,16,Average,4,
iam,사용자 이름 검색,GET /api/users/search 사용자명 부분일치 검색(자동완성),EQ,2,11,Average,4,
iam,전체 조직 목록 조회,GET /api/organizations 전체 조직(부점) 목록 단순 조회,EQ,1,5,Low,3,
system,회원가입,POST /api/auth/signup 신규 사용자 계정 등록 및 비밀번호 암호화 저장,EI,1,10,Low,3,
system,로그인,POST /api/auth/login 사번과 비밀번호 인증 후 JWT 쿠키 발급 및 이력 기록,EI,4,11,High,6,
system,토큰 갱신,POST /api/auth/refresh Refresh Token 검증과 회전 후 Access Token 재발급,EI,1,5,Low,3,
system,로그아웃,POST /api/auth/logout Refresh Token 폐기와 쿠키 만료 및 로그아웃 이력 기록,EI,2,7,Average,4,
